Classifier,Feature Selection Method,Class,Accuracy,TPR,FPR,Precision,Recall,F Score,MCC,ROC,TN,FP,FN,TP
Ada Boost,RFE Feature Selection,Weighted,0.938444225422557,0.938444225422557,0.061555774577443,0.9013794618961324,0.938444225422557,0.917793939204573,0.0234025081626199,0.658781223085102,127447,1183,7186,142
Ada Boost,Select from Model Feature Selection,Heart Attack = 1,0.8875461539593109,0.925623882453549,0.074376117546451,0.9541451296229516,0.925623882453549,0.939668133299134,0.1190463703413931,0.6953537475849793,119063,9567,5722,1606
Ada Boost,Select from Model Feature Selection,Heart Attack = 2,0.8875461539593109,0.2191593886462882,0.7808406113537119,0.143739371699633,0.2191593886462882,0.1736122371763688,0.1190463703413931,0.6953537475849793,119063,9567,5722,1606
Ada Boost,Select from Model Feature Selection,Weighted,0.8875461539593109,0.8875461539593109,0.112453846040689,0.9104650711191336,0.8875461539593109,0.8983784879175629,0.1190463703413931,0.6953537475849791,119063,9567,5722,1606
Decision Tree,Correlation Feature Selection,Heart Attack = 1,0.51356301210668,0.4994247065225841,0.5005752934774159,0.973540242775092,0.4994247065225841,0.6601787099790871,0.1180003099248614,0.6305654386145972,64241,64389,1746,5582
Decision Tree,Correlation Feature Selection,Heart Attack = 2,0.51356301210668,0.761735807860262,0.238264192139738,0.0797759071615383,0.761735807860262,0.1444261892133145,0.1180003099248614,0.6305654386145972,64241,64389,1746,5582
Decision Tree,Correlation Feature Selection,Weighted,0.51356301210668,0.51356301210668,0.4864369878933201,0.9253672404407232,0.51356301210668,0.6323801657803524,0.1180003099248614,0.6305654386145972,64241,64389,1746,5582
Decision Tree,F Score Feature Selection,Heart Attack = 1,0.6881095632474735,0.710269765995491,0.289730234004509,0.9467760989865076,0.710269765995491,0.8116449308837639,0.0046750668872571,0.5048566315422828,91362,37268,5136,2192
Decision Tree,F Score Feature Selection,Heart Attack = 2,0.6881095632474735,0.2991266375545851,0.7008733624454149,0.0555499239736441,0.2991266375545851,0.0936992391211421,0.0046750668872571,0.5048566315422828,91362,37268,5136,2192
Decision Tree,F Score Feature Selection,Weighted,0.6881095632474735,0.6881095632474735,0.3118904367525265,0.8987399009658374,0.6881095632474735,0.772948377321366,0.0046750668872571,0.5048566315422828,91362,37268,5136,2192
Decision Tree,Forward SFS,Heart Attack = 1,0.7417584842377793,0.7682344709632278,0.2317655290367721,0.949114449268124,0.7682344709632278,0.8491488575528687,0.0241303209541235,0.5226130092591492,98818,29812,5298,2030
Decision Tree,Forward SFS,Heart Attack = 2,0.7417584842377793,0.2770196506550218,0.7229803493449782,0.0637522768670309,0.2770196506550218,0.1036507531273934,0.0241303209541235,0.5226130092591492,98818,29812,5298,2030
Decision Tree,Forward SFS,Weighted,0.7417584842377793,0.7417584842377793,0.2582415157622207,0.901394315113788,0.7417584842377793,0.8089672565493979,0.0241303209541235,0.5226130092591492,98818,29812,5298,2030
Decision Tree,RFE Feature Selection,Heart Attack = 1,0.4610615042880889,0.4552903677213714,0.5447096322786287,0.9480824335043952,0.4552903677213714,0.615164836319137,0.0080066054106472,0.5088546152482986,58564,70066,3207,4121
Decision Tree,RFE Feature Selection,Heart Attack = 2,0.4610615042880889,0.5623635371179039,0.4376364628820961,0.0555488158302667,0.5623635371179039,0.1011102251119426,0.0080066054106472,0.5088546152482986,58564,70066,3207,4121
Decision Tree,RFE Feature Selection,Weighted,0.4610615042880889,0.4610615042880889,0.538938495711911,0.8999757656340528,0.4610615042880889,0.5874578077446777,0.0080066054106472,0.5088546152482987,58564,70066,3207,4121
Decision Tree,Select from Model Feature Selection,Heart Attack = 1,0.5039718148251666,0.5049288657389411,0.4950711342610588,0.9453039719388128,0.5049288657389411,0.6582546608086673,-0.0035675215384623,0.4960486839898602,64949,63681,3758,3570
Decision Tree,Select from Model Feature Selection,Heart Attack = 2,0.5039718148251666,0.4871724890829694,0.5128275109170306,0.0530847124949814,0.4871724890829694,0.0957374059721905,-0.0035675215384623,0.4960486839898602,64949,63681,3758,3570
Decision Tree,Select from Model Feature Selection,Weighted,0.5039718148251666,0.5039718148251666,0.4960281851748334,0.8972142476621655,0.5039718148251666,0.6279355442914951,-0.0035675215384623,0.4960486839898602,64949,63681,3758,3570
Logistic Regression,Correlation Feature Selection,Heart Attack = 1,0.9419305962135366,0.995125553914328,0.0048744460856721,0.9462708193182574,0.995125553914328,0.9700834782740496,0.0105523071744132,0.3456436009846121,128003,627,7268,60
Logistic Regression,Correlation Feature Selection,Heart Attack = 2,0.9419305962135366,0.0081877729257641,0.9918122270742358,0.0873362445414847,0.0081877729257641,0.014971927635683,0.0105523071744132,0.3456436009846121,128003,627,7268,60
Logistic Regression,Correlation Feature Selection,Weighted,0.9419305962135366,0.9419305962135366,0.0580694037864634,0.8999751062012346,0.9419305962135366,0.918603922506254,0.0105523071744132,0.3456436009846121,128003,627,7268,60
Logistic Regression,F Score Feature Selection,Heart Attack = 1,0.9415554803689374,0.9939516442509524,0.0060483557490476,0.9469115686564952,0.9939516442509524,0.9698615588848852,0.0430652911122536,0.6236294625261447,127852,778,7168,160
Logistic Regression,F Score Feature Selection,Heart Attack = 2,0.9415554803689374,0.0218340611353711,0.9781659388646288,0.1705756929637526,0.0218340611353711,0.038712799419308,0.0430652911122536,0.6236294625261447,127852,778,7168,160
Logistic Regression,F Score Feature Selection,Weighted,0.9415554803689374,0.9415554803689374,0.0584445196310624,0.90506784267438,0.9415554803689374,0.919673573555859,0.0430652911122536,0.6236294625261447,127852,778,7168,160
